type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Enzyme      71          24          -6          -2          -4          -3          12          
Enzyme      71          37          3           1           3           1           0           
Substrate   71          54          2           -9          5           -7          11          
Substrate   71          77          5           0           9           1           15          
Product     71          81          -21         -4          -18         -3          14          
Substrate   71          91          7           5           5           6           17          
Substrate   71          99          5           -7          8           -13         11          
Product     71          123         -2          -8          -3          -10         15          
Substrate   72          12          -1          -5          -2          -7          10          
Substrate   72          14          5           4           3           3           10          
Substrate   72          52          -2          9           -1          13          10          
Substrate   72          54          6           9           10          5           16          
Substrate   72          67          -10         4           -8          10          17          
ES          72          89          -14         19          -24         17          18          
Substrate   72          92          -12         21          -7          17          10          
Product     73          16          -1          0           -1          0           0           
Substrate   73          27          0           -1          1           1           14          
Substrate   73          57          -2          0           -6          -1          9           
Substrate   73          61          1           3           -6          6           16          
Substrate   73          72          14          5           21          1           17          
Substrate   73          117         8           -3          4           0           13          
Substrate   74          14          0           13          2           14          12          
Substrate   74          47          -1          13          -4          16          10          
Substrate   74          54          0           1           -4          3           12          
Enzyme      74          65          -6          -2          -4          -3          12          
Substrate   74          82          -12         2           -15         7           17          
Substrate   74          109         5           10          4           6           12          
Substrate   75          16          22          17          19          21          12          
Enzyme      75          26          6           2           4           2           14          
Substrate   75          27          9           6           10          9           17          
Enzyme      75          50          9           4           3           0           15          
ES          75          64          -9          0           -11         -2          7           
Enzyme      75          84          -5          2           -3          -1          9           
Substrate   75          99          11          -1          11          4           14          
Substrate   75          104         -2          3           -1          0           9           
ES          75          122         -5          9           2           13          13          
Product     76          6           4           -2          5           -2          14          
Substrate   76          14          8           4           8           4           11          
Substrate   76          17          8           -22         8           -25         10          
Substrate   76          23          13          5           7           5           14          
Substrate   76          65          -4          3           -4          2           1           
ES          76          123         2           8           3           11          10          
Substrate   77          26          -4          -5          -7          -8          16          
Substrate   77          77          -6          1           -7          0           13          
Enzyme      77          82          -13         -12         -15         -12         8           
ES          77          86          12          -4          15          -3          9           
Substrate   77          94          8           -16         8           -17         6           
Substrate   77          119         -14         4           -14         -3          11          
ES          78          19          -1          -8          -5          -4          14          
Substrate   78          55          4           -10         2           -4          18          
Substrate   78          78          4           -12         5           -18         12          
Substrate   78          80          3           10          1           9           5           
ES          78          94          -4          -6          -3          -8          15          
Substrate   78          110         -2          0           -2          -2          12          
Substrate   78          118         -6          3           -5          -6          21          
Substrate   78          127         4           10          1           10          4           
ES          79          13          -1          1           -4          2           12          
Enzyme      79          14          -1          6           -3          2           18          
Substrate   79          64          -2          -5          2           -4          8           
Substrate   79          75          4           4           3           5           2           
Substrate   79          78          6           7           13          8           17          
Substrate   79          98          -3          2           -6          7           13          
Substrate   80          24          2           7           2           7           6           
Enzyme      80          56          -7          -10         -7          -9          11          
Substrate   80          58          4           -7          3           -6          5           
Substrate   80          69          -3          -12         1           -8          9           
Substrate   80          100         1           -18         -1          -17         10          
Substrate   81          22          4           7           4           9           12          
Substrate   81          23          -14         9           -13         2           14          
Substrate   81          46          15          -2          15          -1          14          
Substrate   81          52          5           5           2           8           13          
ES          81          100         0           7           0           7           13          
Substrate   81          107         -8          6           -11         6           8           
Enzyme      81          122         1           -12         0           -16         7           
Substrate   82          30          0           24          2           26          12          
Enzyme      82          65          0           -5          -1          -5          12          
Substrate   82          72          -5          6           -5          9           14          
Substrate   83          15          2           0           2           -5          17          
Substrate   83          65          1           -1          -2          3           16          
Substrate   83          109         -4          9           -2          8           11          
Enzyme      84          24          4           -2          1           0           14          
Substrate   84          28          -10         7           -13         4           11          
Enzyme      84          29          -5          -1          -7          -2          2           
Substrate   84          39          9           -6          11          -8          8           
Enzyme      84          72          4           2           4           4           8           
Substrate   84          85          -10         -6          -10         -6          13          
Substrate   84          121         0           1           0           -1          12          
Substrate   85          14          -5          -5          -7          -2          7           
Substrate   85          19          3           0           6           3           11          
ES          85          34          3           -12         -1          -16         11          
Substrate   85          54          16          -4          22          -3          13          
Product     85          56          -14         -6          -6          0           15          
Substrate   85          112         4           -4          4           -1          16          
Substrate   86          103         0           -8          4           -8          9           
Product     86          106         3           -4          5           -7          7           
Product     86          125         1           0           1           -1          3           
Substrate   87          7           -23         -18         -20         -17         6           
Substrate   87          17          -7          -3          -6          -4          6           
Substrate   87          18          9           -1          5           -6          18          
Substrate   87          62          -4          0           -1          -2          11          
Substrate   87          93          2           -23         -1          -27         14          
Substrate   87          100         1           -2          4           -2          12          
Enzyme      88          0           -11         -6          -11         -4          15          
ES          88          15          5           9           1           12          10          
Enzyme      88          53          -1          -15         0           -12         10          
